"order_id","customer_name","city","state","order_date","total_unit","revenue","product_name","category_name","store_name","sale_rep"
5,"Arla Ellis","Utica","NY","2016-01-03",1,599.99,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Baldwin Bikes","Marcelene Boyer"
5,"Arla Ellis","Utica","NY","2016-01-03",1,429.0,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
5,"Arla Ellis","Utica","NY","2016-01-03",2,3098.0,"Surly Straggler - 2016","Cyclocross Bicycles","Baldwin Bikes","Marcelene Boyer"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04",2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04",1,599.99,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04",1,449.0,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04",2,1999.98,"Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04",2,5999.98,"Trek Conduit+ - 2016","Electric Bikes","Baldwin Bikes","Marcelene Boyer"
7,"Laureen Paul","Bellmore","NY","2016-01-04",1,529.99,"Electra Moto 1 - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
7,"Laureen Paul","Bellmore","NY","2016-01-04",2,858.0,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
7,"Laureen Paul","Bellmore","NY","2016-01-04",1,999.99,"Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
8,"Leslie Higgins","Saratoga Springs","NY","2016-01-04",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
8,"Leslie Higgins","Saratoga Springs","NY","2016-01-04",2,1199.98,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
9,"Neil Mccall","San Carlos","CA","2016-01-05",2,7999.98,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
10,"Alane Munoz","Yonkers","NY","2016-01-05",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
11,"Tarra Guerrero","Auburn","NY","2016-01-05",2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
11,"Tarra Guerrero","Auburn","NY","2016-01-05",2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
11,"Tarra Guerrero","Auburn","NY","2016-01-05",1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
12,"Marvin Mullins","San Diego","CA","2016-01-06",1,1680.99,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
12,"Marvin Mullins","San Diego","CA","2016-01-06",2,5799.98,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08",1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08",2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08",2,1199.98,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08",2,858.0,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
14,"Maribel William","Torrance","CA","2016-01-09",1,469.99,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
15,"Ellsworth Michael","Carmel","NY","2016-01-09",2,599.98,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
15,"Ellsworth Michael","Carmel","NY","2016-01-09",2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
15,"Ellsworth Michael","Carmel","NY","2016-01-09",2,898.0,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
15,"Ellsworth Michael","Carmel","NY","2016-01-09",1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
16,"Lea Key","Banning","CA","2016-01-12",1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
16,"Lea Key","Banning","CA","2016-01-12",2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
16,"Lea Key","Banning","CA","2016-01-12",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
16,"Lea Key","Banning","CA","2016-01-12",1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
17,"Sindy Anderson","Pomona","CA","2016-01-12",1,299.99,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
17,"Sindy Anderson","Pomona","CA","2016-01-12",2,1199.98,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
17,"Sindy Anderson","Pomona","CA","2016-01-12",1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
17,"Sindy Anderson","Pomona","CA","2016-01-12",1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton","Coachella","CA","2016-01-14",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton","Coachella","CA","2016-01-14",2,999.98,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton","Coachella","CA","2016-01-14",2,1499.98,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton","Coachella","CA","2016-01-14",2,5999.98,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton","Coachella","CA","2016-01-14",1,3999.99,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
19,"Norine Huffman","Encino","CA","2016-01-14",1,1549.0,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
19,"Norine Huffman","Encino","CA","2016-01-14",2,5999.98,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Mireya Copeland"
20,"Randee Pitts","Canyon Country","CA","2016-01-14",2,3098.0,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
20,"Randee Pitts","Canyon Country","CA","2016-01-14",1,2999.99,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Mireya Copeland"
21,"Neoma Daugherty","Mount Vernon","NY","2016-01-15",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
21,"Neoma Daugherty","Mount Vernon","NY","2016-01-15",1,429.0,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
21,"Neoma Daugherty","Mount Vernon","NY","2016-01-15",1,1549.0,"Surly Straggler - 2016","Cyclocross Bicycles","Baldwin Bikes","Marcelene Boyer"
22,"Tangela Hurley","Campbell","CA","2016-01-16",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
22,"Tangela Hurley","Campbell","CA","2016-01-16",2,1059.98,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
23,"Drucilla Gilliam","Santa Clara","CA","2016-01-16",1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
23,"Drucilla Gilliam","Santa Clara","CA","2016-01-16",2,599.98,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
23,"Drucilla Gilliam","Santa Clara","CA","2016-01-16",2,5799.98,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
24,"Ashton Lott","Floral Park","NY","2016-01-18",2,898.0,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
24,"Ashton Lott","Floral Park","NY","2016-01-18",2,1999.98,"Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
25,"Sam Lester","Baldwin","NY","2016-01-18",1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
25,"Sam Lester","Baldwin","NY","2016-01-18",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
25,"Sam Lester","Baldwin","NY","2016-01-18",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
25,"Sam Lester","Baldwin","NY","2016-01-18",2,599.98,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
25,"Sam Lester","Baldwin","NY","2016-01-18",2,3098.0,"Surly Straggler - 2016","Cyclocross Bicycles","Baldwin Bikes","Marcelene Boyer"
26,"Jackeline Colon","Wappingers Falls","NY","2016-01-18",2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
26,"Jackeline Colon","Wappingers Falls","NY","2016-01-18",1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
26,"Jackeline Colon","Wappingers Falls","NY","2016-01-18",1,749.99,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
26,"Jackeline Colon","Wappingers Falls","NY","2016-01-18",1,3999.99,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
27,"Pamala Henry","Bronx","NY","2016-01-19",2,1199.98,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Baldwin Bikes","Venita Daniel"
27,"Pamala Henry","Bronx","NY","2016-01-19",1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
27,"Pamala Henry","Bronx","NY","2016-01-19",1,449.0,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
27,"Pamala Henry","Bronx","NY","2016-01-19",1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
28,"Eleni Gordon","Richmond Hill","NY","2016-01-19",2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
28,"Eleni Gordon","Richmond Hill","NY","2016-01-19",1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
28,"Eleni Gordon","Richmond Hill","NY","2016-01-19",1,469.99,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
28,"Eleni Gordon","Richmond Hill","NY","2016-01-19",2,7999.98,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
29,"Laureen Barry","Orchard Park","NY","2016-01-20",2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
29,"Laureen Barry","Orchard Park","NY","2016-01-20",2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
29,"Laureen Barry","Orchard Park","NY","2016-01-20",2,1099.98,"Electra Townie Original 21D - 2016","Comfort Bicycles","Baldwin Bikes","Marcelene Boyer"
29,"Laureen Barry","Orchard Park","NY","2016-01-20",1,469.99,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
29,"Laureen Barry","Orchard Park","NY","2016-01-20",1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
30,"Yvone Guerrero","Merrick","NY","2016-01-20",1,599.99,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Baldwin Bikes","Marcelene Boyer"
30,"Yvone Guerrero","Merrick","NY","2016-01-20",1,429.0,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
30,"Yvone Guerrero","Merrick","NY","2016-01-20",1,449.0,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
30,"Yvone Guerrero","Merrick","NY","2016-01-20",1,2899.99,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
30,"Yvone Guerrero","Merrick","NY","2016-01-20",2,7999.98,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
31,"Edgar Quinn","Harlingen","TX","2016-01-20",2,3361.98,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Rowlett Bikes","Kali Vargas"
31,"Edgar Quinn","Harlingen","TX","2016-01-20",2,5999.98,"Trek Conduit+ - 2016","Electric Bikes","Rowlett Bikes","Kali Vargas"
32,"Kimbery Nieves","San Carlos","CA","2016-01-21",2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
32,"Kimbery Nieves","San Carlos","CA","2016-01-21",2,999.98,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
32,"Kimbery Nieves","San Carlos","CA","2016-01-21",2,3599.98,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
33,"Verona O'neill","Selden","NY","2016-01-21",2,599.98,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
33,"Verona O'neill","Selden","NY","2016-01-21",1,3999.99,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
34,"Sarai Mckee","Buffalo","NY","2016-01-22",2,858.0,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
34,"Sarai Mckee","Buffalo","NY","2016-01-22",2,3098.0,"Surly Straggler - 2016","Cyclocross Bicycles","Baldwin Bikes","Marcelene Boyer"
34,"Sarai Mckee","Buffalo","NY","2016-01-22",2,3599.98,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
35,"Neville Mcclain","West Hempstead","NY","2016-01-22",2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
35,"Neville Mcclain","West Hempstead","NY","2016-01-22",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
35,"Neville Mcclain","West Hempstead","NY","2016-01-22",2,1199.98,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
35,"Neville Mcclain","West Hempstead","NY","2016-01-22",1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
35,"Neville Mcclain","West Hempstead","NY","2016-01-22",1,449.0,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
36,"Shantel Gregory","West Islip","NY","2016-01-23",1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
36,"Shantel Gregory","West Islip","NY","2016-01-23",2,1999.98,"Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
36,"Shantel Gregory","West Islip","NY","2016-01-23",1,2999.99,"Trek Conduit+ - 2016","Electric Bikes","Baldwin Bikes","Marcelene Boyer"
37,"Tomika Larson","Woodside","NY","2016-01-25",2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
38,"Lashandra Turner","Long Beach","NY","2016-01-25",1,299.99,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
38,"Lashandra Turner","Long Beach","NY","2016-01-25",1,549.99,"Electra Townie Original 21D - 2016","Comfort Bicycles","Baldwin Bikes","Venita Daniel"
38,"Lashandra Turner","Long Beach","NY","2016-01-25",1,499.99,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Baldwin Bikes","Venita Daniel"
38,"Lashandra Turner","Long Beach","NY","2016-01-25",2,3098.0,"Surly Straggler - 2016","Cyclocross Bicycles","Baldwin Bikes","Venita Daniel"
38,"Lashandra Turner","Long Beach","NY","2016-01-25",2,7999.98,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
39,"Travis Whitley","Saint Albans","NY","2016-01-25",2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
39,"Travis Whitley","Saint Albans","NY","2016-01-25",1,529.99,"Electra Moto 1 - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
39,"Travis Whitley","Saint Albans","NY","2016-01-25",2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
39,"Travis Whitley","Saint Albans","NY","2016-01-25",2,1999.98,"Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
40,"Darren Witt","Coachella","CA","2016-01-27",1,429.0,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
40,"Darren Witt","Coachella","CA","2016-01-27",2,3599.98,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
41,"Ingeborg Ellison","Ithaca","NY","2016-01-27",2,1199.98,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Baldwin Bikes","Marcelene Boyer"
41,"Ingeborg Ellison","Ithaca","NY","2016-01-27",1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
41,"Ingeborg Ellison","Ithaca","NY","2016-01-27",2,898.0,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
42,"Corene Swanson","Rego Park","NY","2016-01-27",1,449.0,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
43,"Elana Miles","Liverpool","NY","2016-01-27",2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
43,"Elana Miles","Liverpool","NY","2016-01-27",2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
44,"Olympia Figueroa","Hopewell Junction","NY","2016-01-28",1,599.99,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
44,"Olympia Figueroa","Hopewell Junction","NY","2016-01-28",1,3999.99,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
45,"Carissa Cross","Huntington Station","NY","2016-01-28",2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
45,"Carissa Cross","Huntington Station","NY","2016-01-28",1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel"
45,"Carissa Cross","Huntington Station","NY","2016-01-28",2,5799.98,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
46,"Eldridge Greer","Central Islip","NY","2016-01-29",1,429.0,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
47,"Joshua Berg","Ossining","NY","2016-01-29",1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
47,"Joshua Berg","Ossining","NY","2016-01-29",1,529.99,"Electra Moto 1 - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
47,"Joshua Berg","Ossining","NY","2016-01-29",2,999.98,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Baldwin Bikes","Venita Daniel"
47,"Joshua Berg","Ossining","NY","2016-01-29",1,469.99,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
48,"Josephine Dale","Baldwinsville","NY","2016-01-30",2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
48,"Josephine Dale","Baldwinsville","NY","2016-01-30",2,2641.98,"Heller Shagamaw Frame - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
48,"Josephine Dale","Baldwinsville","NY","2016-01-30",1,1680.99,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Baldwin Bikes","Venita Daniel"
48,"Josephine Dale","Baldwinsville","NY","2016-01-30",1,2899.99,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
49,"Taisha Vang","Shirley","NY","2016-01-31",2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
50,"Silas Tate","Corpus Christi","TX","2016-01-31",2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Rowlett Bikes","Kali Vargas"
50,"Silas Tate","Corpus Christi","TX","2016-01-31",2,1199.98,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Rowlett Bikes","Kali Vargas"
50,"Silas Tate","Corpus Christi","TX","2016-01-31",1,999.99,"Surly Wednesday Frameset - 2016","Mountain Bikes","Rowlett Bikes","Kali Vargas"
51,"Jamaal Baker","Elmhurst","NY","2016-02-01",1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
51,"Jamaal Baker","Elmhurst","NY","2016-02-01",2,1199.98,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Baldwin Bikes","Venita Daniel"
51,"Jamaal Baker","Elmhurst","NY","2016-02-01",1,599.99,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
52,"Twana Arnold","Anaheim","CA","2016-02-03",1,499.99,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
53,"Margit Osborn","Plainview","NY","2016-02-03",2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
53,"Margit Osborn","Plainview","NY","2016-02-03",2,599.98,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
53,"Margit Osborn","Plainview","NY","2016-02-03",2,999.98,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Baldwin Bikes","Marcelene Boyer"
53,"Margit Osborn","Plainview","NY","2016-02-03",2,3599.98,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
54,"Inge Olsen","Long Beach","NY","2016-02-04",2,1199.98,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Baldwin Bikes","Venita Daniel"
54,"Inge Olsen","Long Beach","NY","2016-02-04",1,999.99,"Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
55,"Chanel May","Garden City","NY","2016-02-04",1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
55,"Chanel May","Garden City","NY","2016-02-04",2,1059.98,"Electra Moto 1 - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
55,"Chanel May","Garden City","NY","2016-02-04",2,999.98,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Baldwin Bikes","Marcelene Boyer"
56,"Nathaniel Davidson","Rome","NY","2016-02-04",2,1199.98,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
